accB
accC
adk
alaS
argS
dnaA
dnaE
dnaG
dnaN
dnaX
fabD
fabG
ffh
folC
ftsA
ftsZ
glmM
glmS
gmk
gyrA
gyrB
hisS
holB
ileS
infA
leuS
mraY
murC
murD
murE
murF
murG
nadE
nusA
pheS
pheT
prfA
prfB
prs
rnpA
rplB
rplC
rplD
rplE
rplF
rplJ
rplM
rplP
rplR
rplU
rplV
rplW
rplX
rpmA
rpmD
rpoA
rpsC
rpsD
rpsE
rpsH
rpsI
rpsJ
rpsK
rpsR
rpsS
secE
secY
serS
tmk
trpS
tyrS
