aaeA
aaeB
aaeR
aaeX
aas
aat
abgA
abgB
abgR
abgT
abrB
aceA
aceB
aceE
aceK
acnA
acnB
acpH
acrA
acrB
acrD
acrE
acrF
acrR
acs
actP
ada
add
ade
adhE
adhP
adiA
adrA
adrB
aegA
aer
aes
afuC
agaC
agaD
agaI
agaR
agaS
agp
ahpC
ahpF
aidB
alaC
aldA
alkA
alkB
allB
allC
allD
allR
allS
alr
alsA
alsB
alx
amiA
amiB
amiC
amn
ampC
ampD
ampE
ampG
ampH
amtB
amyA
anmK
ansA
ansP
apaG
apaH
apbE
aphA
appA
appB
appC
aqpZ
araC
araE
araJ
arcB
argA
argB
argF
argG
argH
argK
argP
argT
ariR
arnA
arnC
arnD
arnF
arnT
aroA
aroB
aroC
aroD
aroE
aroF
aroG
aroL
aroM
aroP
arpA
arrD
arrQ
arsB
arsC
artI
artJ
artM
artP
artQ
ascB
ascF
ascG
aslA
aslB
asmA
asnA
asnB
asnC
aspA
aspC
asr
astC
astD
atoA
atoB
atoC
atoD
atoE
atoS
atpA
atpB
atpD
atpE
atpG
atpI
avtA
bacA
baeR
baeS
bamB
bamC
barA
basR
bax
bcp
bcr
bcsA
bcsC
bcsE
bcsG
bdm
betA
betB
betI
betT
bglA
bglF
bglG
bglH
bglJ
bglX
bhsA
bioA
bioB
bioC
bioD
bioF
bioH
bisC
bolA
borD
brnQ
bsmA
bssR
bssS
btuB
btuC
btuD
btuF
cadA
cadB
caiA
caiB
caiC
caiD
caiE
caiF
caiT
carA
carB
casA
casB
casC
casD
casE
cbpA
cbrA
cbrB
cbrC
ccmA
ccmB
ccmC
ccmD
ccmF
ccmG
ccmH
cdaR
cdd
cdh
cedA
cfa
chaA
chaC
chbC
chbF
chbG
chbR
cheA
cheY
cheZ
chiA
chiP
chpB
cirA
citC
citD
citE
citF
citG
citT
citX
clcA
clcB
cld
clpA
clpB
clpP
clpX
cls
cmoA
cmtA
cmtB
cnu
cobB
cobC
cobS
cobT
cobU
codA
codB
cof
copA
cpdA
cpdB
cpsB
cpsG
cpxR
creA
creB
creC
creD
crl
csdA
csdL
csgA
csgB
csgC
csgD
csgF
csgG
csiD
csiE
csiR
cspA
cspB
cspD
cspE
cspF
cspG
csrD
cstA
cueO
cusA
cusB
cusC
cusF
cusR
cusS
cutA
cvrA
cyaA
cyaY
cybB
cycA
cynR
cynT
cynX
cyoA
cyoB
cyoC
cyoE
cysA
cysB
cysD
cysH
cysI
cysJ
cysK
cysM
cysN
cysP
cysQ
cysU
cysZ
cytR
dacA
dacB
dacC
dacD
dadX
dam
damX
dbpA
dcd
dcp
dcrB
dctA
dctR
dcuA
dcuB
dcuC
dcuD
dcuR
dcuS
ddlA
ddpA
ddpB
ddpD
ddpF
ddpX
deaD
dedA
dedD
degP
deoA
deoB
deoC
deoD
deoR
dgoK
dgoT
dgsA
dgt
dhaK
dhaM
dhaR
diaA
dinB
dinD
dinF
dinG
dinI
dinJ
djlA
djlB
djlC
dkgA
dkgB
dksA
dld
dmsA
dmsB
dmsC
dmsD
dosC
dosP
dpiA
dpiB
dppA
dppB
dppC
dppD
dppF
dps
dsbB
dsbC
dsbD
dsbG
dsdC
dsdX
dtd
dtpB
dtpD
dusA
dusB
dusC
eamA
eamB
ebgA
ebgC
ebgR
eco
ecpD
eda
edd
efeB
efeO
elaB
elaD
elfA
elfC
elfD
elfG
emrA
emrB
emrD
emrE
emtA
entA
entB
entC
entE
entF
entH
envC
envR
envY
envZ
epd
eptA
eptB
erfK
essD
etk
etp
eutA
eutB
eutC
eutD
eutE
eutG
eutH
eutJ
eutK
eutM
eutP
eutQ
eutR
eutS
eutT
evgA
evgS
exbB
exbD
exoX
exuR
exuT
fabF
fabR
fadA
fadB
fadD
fadE
fadH
fadI
fadJ
fadK
fadL
fadM
fadR
fbaB
fbp
fcl
fdhD
fdhE
fdhF
fdnG
fdnH
fdnI
fdoG
fdoH
fdoI
fdrA
feaB
feaR
fecA
fecC
fecD
fecE
fecR
feoA
feoB
fepA
fepC
fepD
fepE
fes
fhlA
fhuA
fhuB
fhuC
fhuD
fhuE
fic
fieF
fimD
fimH
fimZ
fiu
fixA
fixB
fixC
fixX
fklB
fkpA
fkpB
fldB
flgA
flgB
flgC
flgD
flgE
flgF
flgG
flgH
flgI
flgJ
flgK
flgM
flgN
flhA
flhB
flhC
flhD
flhE
fliA
fliC
fliD
fliF
fliG
fliH
fliI
fliK
fliM
fliO
fliP
fliQ
fliR
fliS
fliT
fliZ
flk
flu
flxA
fnr
focA
focB
folM
folP
folX
fpr
frc
frdA
frdB
frdC
fre
frlA
frlB
frlR
frmA
frmB
frsA
fruA
fruB
fruK
fruR
frvA
frvB
frwB
frwC
frwD
fryA
fryC
fsaA
fsaB
fsr
ftnA
ftnB
fucA
fucI
fucK
fucO
fucP
fucR
fumA
fumB
fumC
fur
fxsA
gabD
gabP
gabT
gadB
gadC
gadE
gadW
galE
galK
galM
galP
galR
galS
galT
garD
garL
garP
garR
gatA
gatB
gatC
gatY
gatZ
gcd
gcl
gcvA
gcvH
gcvP
gcvT
gdhA
gfcB
gfcC
gfcD
gfcE
ggt
ghrB
glcA
glcC
glcD
gldA
glgA
glgB
glgC
glgP
glgS
glgX
glk
glnA
glnB
glnE
glnH
glnK
glnQ
gloB
glpA
glpB
glpC
glpD
glpF
glpG
glpK
glpQ
glpR
glpT
glpX
glrK
glrR
gltA
gltB
gltD
gltI
gltJ
gltP
gltS
glxK
glxR
gmd
gmhB
gmm
gmr
gnd
gntP
gntT
gntX
gpmA
gpmM
gpp
gpr
greA
greB
grxB
grxC
gshA
gsiA
gsiB
gsiC
gsiD
gsk
gspA
gspB
gspE
gspF
gspG
gspH
gspJ
gspK
gspL
gss
gst
gtrS
guaA
guaB
guaC
guaD
gudD
gudP
gudX
gutM
gutQ
hcaB
hcaD
hcaE
hcaT
hchA
hcp
hcr
hdhA
helD
hemF
hemN
hemX
hemY
hflC
hflD
hflK
hflX
hha
hinT
hipA
hisA
hisB
hisC
hisD
hisF
hisH
hisI
hisJ
hisM
hisP
hisQ
hiuH
hlyE
hmp
hofB
hofC
hofM
hofN
hofO
hofQ
hpf
hpt
hrpA
hrpB
hscC
hsdM
hsdR
hsdS
hslR
hslU
hslV
hspQ
hsrA
htpG
htpX
htrE
hupA
hupB
hyaB
hyaE
hyaF
hybA
hybB
hybC
hybE
hybF
hybO
hycA
hycC
hycD
hycE
hycG
hycH
hydN
hyfA
hyfB
hyfC
hyfD
hyfE
hyfF
hyfG
hyfI
hyfJ
hyfR
hyi
hypB
hypD
hypE
hypF
hyuA
iaaA
iadA
iap
ibpA
ibpB
icd
iclR
idi
idnK
idnO
idnR
idnT
ihfB
ilvA
ilvB
ilvC
ilvD
ilvE
ilvH
ilvI
ilvM
ilvY
inaA
insQ
intA
intD
intE
intF
intR
iscR
iscX
ivy
katE
katG
kbaY
kbaZ
kbl
kch
kdgK
kdgR
kdgT
kdpA
